year,round,constructorId,points,position,positionText,wins
2011,8,lotus_racing,0,10,10,0
2011,8,hrt,0,11,11,0
2011,8,virgin,0,12,12,0
2011,9,red_bull,328,1,1,6
2011,9,mclaren,218,2,2,2
2011,9,ferrari,164,3,3,1
2011,9,mercedes,68,4,4,0
2011,9,renault,65,5,5,0
2011,9,sauber,33,6,6,0
2011,9,toro_rosso,17,7,7,0
2011,9,force_india,12,8,8,0
2011,9,williams,4,9,9,0
2011,9,lotus_racing,0,10,10,0
2011,9,hrt,0,11,11,0
2011,9,virgin,0,12,12,0
2011,10,red_bull,355,1,1,6
2011,10,mclaren,243,2,2,3
2011,10,ferrari,192,3,3,1
2011,10,mercedes,78,4,4,0
2011,10,renault,66,5,5,0
2011,10,sauber,35,6,6,0
2011,10,force_india,20,7,7,0
2011,10,toro_rosso,17,8,8,0
2011,10,williams,4,9,9,0
2011,10,lotus_racing,0,10,10,0
2011,10,hrt,0,11,11,0
2011,10,virgin,0,12,12,0
2011,11,red_bull,383,1,1,6
2011,11,mclaren,280,2,2,4
2011,11,ferrari,215,3,3,1
2011,11,mercedes,80,4,4,0
2011,11,renault,66,5,5,0
2011,11,sauber,35,6,6,0
2011,11,force_india,26,7,7,0
2011,11,toro_rosso,22,8,8,0
2011,11,williams,4,9,9,0
2011,11,lotus_racing,0,10,10,0
2011,11,hrt,0,11,11,0
2011,11,virgin,0,12,12,0
2011,12,red_bull,426,1,1,7
2011,12,mclaren,295,2,2,4
2011,12,ferrari,231,3,3,1
2011,12,mercedes,98,4,4,0
2011,12,renault,68,5,5,0
2011,12,sauber,35,6,6,0
2011,12,force_india,32,7,7,0
2011,12,toro_rosso,22,8,8,0
2011,12,williams,5,9,9,0
2011,12,lotus_racing,0,10,10,0
2011,12,hrt,0,11,11,0
2011,12,virgin,0,12,12,0
2011,13,red_bull,451,1,1,8
2011,13,mclaren,325,2,2,4
2011,13,ferrari,254,3,3,1
2011,13,mercedes,108,4,4,0
2011,13,renault,70,5,5,0
2011,13,force_india,36,6,6,0
2011,13,sauber,35,7,7,0
2011,13,toro_rosso,29,8,8,0
2011,13,williams,5,9,9,0
2011,13,lotus_racing,0,10,10,0
2011,13,hrt,0,11,11,0
2011,13,virgin,0,12,12,0
2011,14,red_bull,491,1,1,9
2011,14,mclaren,353,2,2,4
2011,14,ferrari,268,3,3,1
2011,14,mercedes,114,4,4,0
2011,14,renault,70,5,5,0
2011,14,force_india,48,6,6,0
2011,14,sauber,36,7,7,0
2011,14,toro_rosso,29,8,8,0
2011,14,williams,5,9,9,0
2011,14,lotus_racing,0,10,10,0
2011,14,hrt,0,11,11,0
2011,14,virgin,0,12,12,0
2011,15,red_bull,518,1,1,9
2011,15,mclaren,388,2,2,5
2011,15,ferrari,292,3,3,1
2011,15,mercedes,123,4,4,0
2011,15,renault,72,5,5,0
2011,15,force_india,48,6,6,0
2011,15,sauber,40,7,7,0
2011,15,toro_rosso,29,8,8,0
2011,15,williams,5,9,9,0
2011,15,lotus_racing,0,10,10,0
2011,15,hrt,0,11,11,0
2011,15,virgin,0,12,12,0
2011,16,red_bull,558,1,1,10
2011,16,mclaren,418,2,2,5
2011,16,ferrari,310,3,3,1
2011,16,mercedes,127,4,4,0
2011,16,renault,72,5,5,0
2011,16,force_india,49,6,6,0
2011,16,sauber,40,7,7,0
2011,16,toro_rosso,37,8,8,0
2011,16,williams,5,9,9,0
2011,16,lotus_racing,0,10,10,0
2011,16,hrt,0,11,11,0
2011,16,virgin,0,12,12,0
2011,17,red_bull,595,1,1,11
2011,17,mclaren,442,2,2,5
2011,17,ferrari,325,3,3,1
2011,17,mercedes,145,4,4,0
2011,17,renault,72,5,5,0
2011,17,force_india,51,6,6,0
2011,17,sauber,41,7,7,0
2011,17,toro_rosso,41,8,8,0
2011,17,williams,5,9,9,0
2011,17,lotus_racing,0,10,10,0
2011,17,hrt,0,11,11,0
2011,17,virgin,0,12,12,0
2011,18,red_bull,607,1,1,11
2011,18,mclaren,482,2,2,6
2011,18,ferrari,353,3,3,1
2011,18,mercedes,159,4,4,0
2011,18,renault,72,5,5,0
2011,18,force_india,57,6,6,0
2011,18,sauber,42,7,7,0
2011,18,toro_rosso,41,8,8,0
2011,18,williams,5,9,9,0
2011,18,lotus_racing,0,10,10,0
2011,18,hrt,0,11,11,0
2011,18,virgin,0,12,12,0
2011,19,red_bull,650,1,1,12
2011,19,mclaren,497,2,2,6
2011,19,ferrari,375,3,3,1
2011,19,mercedes,165,4,4,0
2011,19,renault,73,5,5,0
2011,19,force_india,69,6,6,0
2011,19,sauber,44,7,7,0
2011,19,toro_rosso,41,8,8,0
2011,19,williams,5,9,9,0
2011,19,lotus_racing,0,10,10,0
2011,19,hrt,0,11,11,0
2011,19,virgin,0,12,12,0
2012,1,mclaren,40,1,1,1
2012,1,red_bull,30,2,2,0
2012,1,sauber,12,3,3,0
2012,1,ferrari,10,4,4,0
2012,1,lotus_f1,6,5,5,0
2012,1,toro_rosso,2,6,6,0
2012,1,force_india,1,7,7,0
2012,1,mercedes,0,8,8,0
2012,1,williams,0,9,9,0
2012,1,marussia,0,10,10,0
2012,1,caterham,0,11,11,0
2012,2,mclaren,55,1,1,1
2012,2,red_bull,42,2,2,0
2012,2,ferrari,35,3,3,1
2012,2,sauber,30,4,4,0
2012,2,lotus_f1,16,5,5,0
2012,2,force_india,9,6,6,0
2012,2,williams,8,7,7,0
2012,2,toro_rosso,6,8,8,0
2012,2,mercedes,1,9,9,0
2012,2,marussia,0,10,10,0
2012,2,caterham,0,11,11,0
2012,2,hrt,0,12,12,0
2012,3,mclaren,88,1,1,1
2012,3,red_bull,64,2,2,0
2012,3,ferrari,37,3,3,1
2012,3,sauber,31,4,4,0
2012,3,mercedes,26,5,5,1
2012,3,lotus_f1,24,6,6,0
2012,3,williams,18,7,7,0
2012,3,force_india,9,8,8,0
2012,3,toro_rosso,6,9,9,0
2012,3,marussia,0,10,10,0
2012,3,caterham,0,11,11,0
2012,3,hrt,0,12,12,0
2012,4,red_bull,101,1,1,1
2012,4,mclaren,92,2,2,1
2012,4,lotus_f1,57,3,3,0
2012,4,ferrari,45,4,4,1
2012,4,mercedes,37,5,5,1
2012,4,sauber,31,6,6,0
2012,4,williams,18,7,7,0
2012,4,force_india,17,8,8,0
2012,4,toro_rosso,6,9,9,0
2012,4,marussia,0,10,10,0
2012,4,caterham,0,11,11,0
2012,4,hrt,0,12,12,0
2012,5,red_bull,109,1,1,1
2012,5,mclaren,98,2,2,1
2012,5,lotus_f1,84,3,3,0
2012,5,ferrari,63,4,4,1
2012,5,mercedes,43,5,5,1
2012,5,williams,43,6,6,1
2012,5,sauber,41,7,7,0
2012,5,force_india,18,8,8,0
2012,5,toro_rosso,6,9,9,0
2012,5,marussia,0,10,10,0
2012,5,caterham,0,11,11,0
2012,5,hrt,0,12,12,0
2012,6,red_bull,146,1,1,2
2012,6,mclaren,108,2,2,1
2012,6,ferrari,86,3,3,1
2012,6,lotus_f1,86,4,4,0
2012,6,mercedes,61,5,5,1
2012,6,williams,44,6,6,1
2012,6,sauber,41,7,7,0
2012,6,force_india,28,8,8,0
2012,6,toro_rosso,6,9,9,0
2012,6,caterham,0,10,10,0
2012,6,marussia,0,11,11,0
2012,6,hrt,0,12,12,0
2012,7,red_bull,164,1,1,2
2012,7,mclaren,133,2,2,2
2012,7,lotus_f1,108,3,3,0
2012,7,ferrari,97,4,4,1
2012,7,mercedes,69,5,5,1
2012,7,sauber,58,6,6,0
2012,7,williams,44,7,7,1
2012,7,force_india,28,8,8,0
2012,7,toro_rosso,6,9,9,0
2012,7,caterham,0,10,10,0
2012,7,marussia,0,11,11,0
2012,7,hrt,0,12,12,0
2012,8,red_bull,176,1,1,2
2012,8,mclaren,137,2,2,2
2012,8,lotus_f1,126,3,3,0
2012,8,ferrari,122,4,4,2
2012,8,mercedes,92,5,5,1
2012,8,sauber,60,6,6,0
2012,8,williams,45,7,7,1
2012,8,force_india,44,8,8,0
2012,8,toro_rosso,6,9,9,0
2012,8,caterham,0,10,10,0
2012,8,marussia,0,11,11,0
2012,8,hrt,0,12,12,0
2012,9,red_bull,216,1,1,3
2012,9,ferrari,152,2,2,2
2012,9,lotus_f1,144,3,3,0
2012,9,mclaren,142,4,4,2
2012,9,mercedes,98,5,5,1
2012,9,sauber,60,6,6,0
2012,9,williams,47,7,7,1
2012,9,force_india,44,8,8,0
2012,9,toro_rosso,6,9,9,0
2012,9,caterham,0,10,10,0
2012,9,marussia,0,11,11,0
2012,9,hrt,0,12,12,0
2012,10,red_bull,230,1,1,3
2012,10,ferrari,177,2,2,3
2012,10,mclaren,160,3,3,2
2012,10,lotus_f1,159,4,4,0
2012,10,mercedes,105,5,5,1
2012,10,sauber,80,6,6,0
2012,10,williams,47,7,7,1
2012,10,force_india,46,8,8,0
2012,10,toro_rosso,6,9,9,0
2012,10,caterham,0,10,10,0
2012,10,marussia,0,11,11,0
2012,10,hrt,0,12,12,0
2012,11,red_bull,246,1,1,3
2012,11,mclaren,193,2,2,3
2012,11,lotus_f1,192,3,3,0
2012,11,ferrari,189,4,4,3
2012,11,mercedes,106,5,5,1
2012,11,sauber,80,6,6,0
2012,11,williams,53,7,7,1
2012,11,force_india,46,8,8,0
2012,11,toro_rosso,6,9,9,0
2012,11,caterham,0,10,10,0
2012,11,marussia,0,11,11,0
2012,11,hrt,0,12,12,0
2012,12,red_bull,272,1,1,3
2012,12,mclaren,218,2,2,4
2012,12,lotus_f1,207,3,3,0
2012,12,ferrari,199,4,4,3
2012,12,mercedes,112,5,5,1
2012,12,sauber,80,6,6,0
2012,12,force_india,59,7,7,0
2012,12,williams,53,8,8,1
2012,12,toro_rosso,12,9,9,0
2012,12,caterham,0,10,10,0
2012,12,marussia,0,11,11,0
2012,12,hrt,0,12,12,0
2012,13,red_bull,272,1,1,3
2012,13,mclaren,243,2,2,5
2012,13,ferrari,226,3,3,3
2012,13,lotus_f1,217,4,4,0
2012,13,mercedes,126,5,5,1
2012,13,sauber,100,6,6,0
2012,13,force_india,63,7,7,0
2012,13,williams,54,8,8,1
2012,13,toro_rosso,12,9,9,0
2012,13,caterham,0,10,10,0
2012,13,marussia,0,11,11,0
2012,13,hrt,0,12,12,0
2012,14,red_bull,297,1,1,4
2012,14,mclaren,261,2,2,5
2012,14,ferrari,245,3,3,3
2012,14,lotus_f1,231,4,4,0
2012,14,mercedes,136,5,5,1
2012,14,sauber,101,6,6,0
2012,14,force_india,75,7,7,0
2012,14,williams,54,8,8,1
2012,14,toro_rosso,14,9,9,0
2012,14,marussia,0,10,10,0
2012,14,caterham,0,11,11,0
2012,14,hrt,0,12,12,0
2012,15,red_bull,324,1,1,5
2012,15,mclaren,283,2,2,5
2012,15,ferrari,263,3,3,3
2012,15,lotus_f1,239,4,4,0
2012,15,mercedes,136,5,5,1
2012,15,sauber,116,6,6,0
2012,15,force_india,81,7,7,0
2012,15,williams,58,8,8,1
2012,15,toro_rosso,15,9,9,0
2012,15,marussia,0,10,10,0
2012,15,caterham,0,11,11,0
2012,15,hrt,0,12,12,0
2012,16,red_bull,367,1,1,6
2012,16,ferrari,290,2,2,3
2012,16,mclaren,284,3,3,5
2012,16,lotus_f1,255,4,4,0
2012,16,mercedes,136,5,5,1
2012,16,sauber,116,6,6,0
2012,16,force_india,89,7,7,0
2012,16,williams,58,8,8,1
2012,16,toro_rosso,21,9,9,0
2012,16,marussia,0,10,10,0
2012,16,caterham,0,11,11,0
2012,16,hrt,0,12,12,0
2012,17,red_bull,407,1,1,7
2012,17,ferrari,316,2,2,3
2012,17,mclaren,306,3,3,5
2012,17,lotus_f1,263,4,4,0
2012,17,mercedes,136,5,5,1
2012,17,sauber,116,6,6,0
2012,17,force_india,93,7,7,0
2012,17,williams,59,8,8,1
2012,17,toro_rosso,21,9,9,0
2012,17,marussia,0,10,10,0
2012,17,caterham,0,11,11,0
2012,17,hrt,0,12,12,0
2012,18,red_bull,422,1,1,7
2012,18,ferrari,340,2,2,3
2012,18,mclaren,318,3,3,5
2012,18,lotus_f1,288,4,4,1
2012,18,mercedes,136,5,5,1
2012,18,sauber,124,6,6,0
2012,18,force_india,95,7,7,0
2012,18,williams,73,8,8,1
2012,18,toro_rosso,22,9,9,0
2012,18,marussia,0,10,10,0
2012,18,caterham,0,11,11,0
2012,18,hrt,0,12,12,0
2012,19,red_bull,440,1,1,7
2012,19,ferrari,367,2,2,3
2012,19,mclaren,353,3,3,6
2012,19,lotus_f1,302,4,4,1
2012,19,mercedes,136,5,5,1
2012,19,sauber,124,6,6,0
2012,19,force_india,99,7,7,0
2012,19,williams,76,8,8,1
2012,19,toro_rosso,22,9,9,0
2012,19,marussia,0,10,10,0
2012,19,caterham,0,11,11,0
2012,19,hrt,0,12,12,0
2012,20,red_bull,460,1,1,7
2012,20,ferrari,400,2,2,3
2012,20,mclaren,378,3,3,7
2012,20,lotus_f1,303,4,4,1
2012,20,mercedes,142,5,5,1
2012,20,sauber,126,6,6,0
2012,20,force_india,109,7,7,0
2012,20,williams,76,8,8,1
2012,20,toro_rosso,26,9,9,0
2012,20,caterham,0,10,10,0
2012,20,marussia,0,11,11,0
2012,20,hrt,0,12,12,0
2013,1,ferrari,30,1,1,0
2013,1,lotus_f1,26,2,2,1
2013,1,red_bull,23,3,3,0
2013,1,mercedes,10,4,4,0
2013,1,force_india,10,5,5,0
2013,1,mclaren,2,6,6,0
2013,1,toro_rosso,0,7,7,0
2013,1,sauber,0,8,8,0
2013,1,williams,0,9,9,0
2013,1,marussia,0,10,10,0
2013,1,caterham,0,11,11,0
2013,2,red_bull,66,1,1,1
2013,2,lotus_f1,40,2,2,1
2013,2,ferrari,40,3,3,0
2013,2,mercedes,37,4,4,0
2013,2,force_india,10,5,5,0
2013,2,sauber,4,6,6,0
2013,2,mclaren,4,7,7,0
2013,2,toro_rosso,1,8,8,0
2013,2,williams,0,9,9,0
2013,2,marussia,0,10,10,0
2013,2,caterham,0,11,11,0
2013,3,red_bull,78,1,1,1
2013,3,ferrari,73,2,2,1
2013,3,lotus_f1,60,3,3,1
2013,3,mercedes,52,4,4,0
2013,3,mclaren,14,5,5,0
2013,3,force_india,14,6,6,0
2013,3,toro_rosso,7,7,7,0
2013,3,sauber,5,8,8,0
2013,3,williams,0,9,9,0
2013,3,marussia,0,10,10,0
2013,3,caterham,0,11,11,0
2013,4,red_bull,109,1,1,2
2013,4,lotus_f1,93,2,2,1
2013,4,ferrari,77,3,3,1
2013,4,mercedes,64,4,4,0
2013,4,force_india,26,5,5,0
2013,4,mclaren,23,6,6,0
2013,4,toro_rosso,7,7,7,0
2013,4,sauber,5,8,8,0
2013,4,williams,0,9,9,0
2013,4,marussia,0,10,10,0
2013,4,caterham,0,11,11,0
2013,5,red_bull,131,1,1,2
2013,5,ferrari,117,2,2,2
2013,5,lotus_f1,111,3,3,1
2013,5,mercedes,72,4,4,0
2013,5,force_india,32,5,5,0
2013,5,mclaren,29,6,6,0
2013,5,toro_rosso,8,7,7,0
2013,5,sauber,5,8,8,0
2013,5,williams,0,9,9,0
2013,5,marussia,0,10,10,0
2013,5,caterham,0,11,11,0
2013,6,red_bull,164,1,1,2
2013,6,ferrari,123,2,2,2
2013,6,lotus_f1,112,3,3,1
2013,6,mercedes,109,4,4,1
2013,6,force_india,44,5,5,0
2013,6,mclaren,37,6,6,0
2013,6,toro_rosso,12,7,7,0
2013,6,sauber,5,8,8,0
2013,6,williams,0,9,9,0
2013,6,marussia,0,10,10,0
2013,6,caterham,0,11,11,0
2013,7,red_bull,201,1,1,3
2013,7,ferrari,145,2,2,2
2013,7,mercedes,134,3,3,1
2013,7,lotus_f1,114,4,4,1
2013,7,force_india,51,5,5,0
2013,7,mclaren,37,6,6,0
2013,7,toro_rosso,20,7,7,0
2013,7,sauber,5,8,8,0
2013,7,williams,0,9,9,0
2013,7,marussia,0,10,10,0
2013,7,caterham,0,11,11,0
2013,8,red_bull,219,1,1,3
2013,8,mercedes,171,2,2,2
2013,8,ferrari,168,3,3,2
2013,8,lotus_f1,124,4,4,1
2013,8,force_india,59,5,5,0
2013,8,mclaren,37,6,6,0
2013,8,toro_rosso,24,7,7,0
2013,8,sauber,6,8,8,0
2013,8,williams,0,9,9,0
2013,8,marussia,0,10,10,0
2013,8,caterham,0,11,11,0
2013,9,red_bull,250,1,1,4
2013,9,mercedes,183,2,2,2
2013,9,ferrari,180,3,3,2
2013,9,lotus_f1,157,4,4,1
2013,9,force_india,59,5,5,0
2013,9,mclaren,49,6,6,0
